city,time,pm2_5,pm10,ozone
bengaluru,2025-12-14 19:00:00,36.6,37.7,76
bengaluru,2025-12-14 20:00:00,36.4,37.5,80
bengaluru,2025-12-14 21:00:00,36.7,37.8,83
bengaluru,2025-12-14 22:00:00,37.6,38.9,83
bengaluru,2025-12-14 23:00:00,40.3,41.8,82
bengaluru,2025-12-15 00:00:00,44.7,46.3,82
bengaluru,2025-12-15 01:00:00,49.1,50.9,85
bengaluru,2025-12-15 02:00:00,50.6,52.7,90
bengaluru,2025-12-15 03:00:00,50.3,52.2,98
bengaluru,2025-12-15 04:00:00,46.0,48.1,112
bengaluru,2025-12-15 05:00:00,39.2,41.7,129
bengaluru,2025-12-15 06:00:00,32.4,34.9,141
bengaluru,2025-12-15 07:00:00,26.9,29.4,144
bengaluru,2025-12-15 08:00:00,23.3,25.8,141
bengaluru,2025-12-15 09:00:00,21.9,24.5,136
bengaluru,2025-12-15 10:00:00,22.4,25.0,127
bengaluru,2025-12-15 11:00:00,24.2,26.6,115
bengaluru,2025-12-15 12:00:00,28.9,30.7,107
delhi,2025-12-11 00:00:00,105.2,106.2,45
delhi,2025-12-11 01:00:00,110.1,111.1,37
delhi,2025-12-11 02:00:00,124.3,125.3,28
delhi,2025-12-11 03:00:00,130.4,131.3,36
delhi,2025-12-11 04:00:00,123.9,124.3,79
delhi,2025-12-11 05:00:00,110.8,111.5,139
delhi,2025-12-11 06:00:00,90.3,91.0,183
delhi,2025-12-11 07:00:00,71.2,71.9,199
delhi,2025-12-11 08:00:00,61.7,62.2,199
delhi,2025-12-11 09:00:00,55.5,56.0,188
delhi,2025-12-11 10:00:00,52.0,52.5,163
delhi,2025-12-11 11:00:00,55.1,55.4,126
delhi,2025-12-11 12:00:00,69.6,69.8,94
delhi,2025-12-11 13:00:00,85.2,85.4,70
delhi,2025-12-11 14:00:00,96.4,96.9,49
delhi,2025-12-11 15:00:00,107.8,108.3,34
delhi,2025-12-11 16:00:00,121.1,121.5,27
delhi,2025-12-11 17:00:00,133.6,134.1,25
delhi,2025-12-11 18:00:00,138.3,138.8,24
delhi,2025-12-11 19:00:00,135.5,136.0,24
delhi,2025-12-11 20:00:00,132.2,132.7,24
delhi,2025-12-11 21:00:00,131.8,132.2,24
delhi,2025-12-11 22:00:00,132.2,133.2,22
delhi,2025-12-11 23:00:00,133.2,134.1,18
delhi,2025-12-12 00:00:00,136.4,136.9,17
delhi,2025-12-12 01:00:00,144.4,144.8,13
delhi,2025-12-12 02:00:00,159.3,160.2,12
delhi,2025-12-12 03:00:00,162.5,163.4,28
delhi,2025-12-12 04:00:00,146.2,146.7,79
delhi,2025-12-12 05:00:00,124.3,125.3,149
delhi,2025-12-12 06:00:00,99.7,100.4,203
delhi,2025-12-12 07:00:00,80.3,81.0,230
delhi,2025-12-12 08:00:00,71.9,72.6,242
delhi,2025-12-12 09:00:00,68.2,69.2,237
delhi,2025-12-12 10:00:00,67.1,68.0,211
delhi,2025-12-12 11:00:00,75.7,76.6,169
delhi,2025-12-12 12:00:00,110.6,111.5,127
delhi,2025-12-12 13:00:00,147.6,148.5,89
delhi,2025-12-12 14:00:00,179.7,180.7,51
delhi,2025-12-12 15:00:00,210.9,211.4,23
delhi,2025-12-12 16:00:00,238.4,239.3,10
delhi,2025-12-12 17:00:00,261.7,262.6,7
delhi,2025-12-12 18:00:00,273.8,274.7,6
delhi,2025-12-12 19:00:00,267.3,268.2,6
delhi,2025-12-12 20:00:00,257.0,258.0,7
delhi,2025-12-12 21:00:00,245.9,246.8,9
delhi,2025-12-12 22:00:00,238.0,238.4,9
delhi,2025-12-12 23:00:00,232.4,233.3,8
delhi,2025-12-13 00:00:00,229.1,230.0,10
delhi,2025-12-13 01:00:00,232.8,233.3,9
delhi,2025-12-13 02:00:00,250.5,251.5,10
delhi,2025-12-13 03:00:00,271.9,271.9,34
delhi,2025-12-13 04:00:00,215.1,215.6,104
delhi,2025-12-13 05:00:00,175.6,176.5,196
delhi,2025-12-13 06:00:00,135.5,136.4,266
delhi,2025-12-13 07:00:00,106.2,107.1,295
delhi,2025-12-13 08:00:00,92.2,93.4,301
delhi,2025-12-13 09:00:00,88.2,89.6,292
delhi,2025-12-13 10:00:00,87.5,88.7,265
delhi,2025-12-13 11:00:00,110.8,112.0,222
delhi,2025-12-13 12:00:00,149.0,150.4,178
delhi,2025-12-13 13:00:00,192.8,194.2,131
delhi,2025-12-13 14:00:00,227.2,228.2,83
delhi,2025-12-13 15:00:00,239.3,240.3,49
delhi,2025-12-13 16:00:00,231.4,231.9,40
delhi,2025-12-13 17:00:00,217.5,218.4,46
delhi,2025-12-13 18:00:00,204.4,205.4,51
delhi,2025-12-13 19:00:00,194.2,195.1,51
delhi,2025-12-13 20:00:00,189.5,190.5,50
delhi,2025-12-13 21:00:00,188.6,189.1,48
delhi,2025-12-13 22:00:00,187.7,188.6,45
delhi,2025-12-13 23:00:00,187.7,188.6,42
delhi,2025-12-14 00:00:00,189.1,189.5,40
delhi,2025-12-14 01:00:00,197.0,197.4,30
delhi,2025-12-14 02:00:00,218.4,218.9,21
delhi,2025-12-14 03:00:00,241.2,242.1,38
delhi,2025-12-14 04:00:00,198.8,199.3,105
delhi,2025-12-14 05:00:00,167.6,168.1,199
delhi,2025-12-14 06:00:00,140.2,140.6,269
delhi,2025-12-14 07:00:00,118.0,119.2,298
delhi,2025-12-14 08:00:00,102.7,104.1,305
delhi,2025-12-14 09:00:00,94.1,95.2,295
delhi,2025-12-14 10:00:00,89.4,90.8,265
delhi,2025-12-14 11:00:00,99.0,100.1,219
delhi,2025-12-14 12:00:00,130.4,131.8,173
delhi,2025-12-14 13:00:00,161.1,162.1,128
delhi,2025-12-14 14:00:00,190.9,191.9,83
delhi,2025-12-14 15:00:00,215.6,216.5,49
delhi,2025-12-14 16:00:00,236.6,237.5,32
delhi,2025-12-14 17:00:00,252.4,253.3,27
delhi,2025-12-14 18:00:00,258.0,259.8,24
delhi,2025-12-14 19:00:00,253.3,254.3,22
delhi,2025-12-14 20:00:00,243.1,244.9,22
delhi,2025-12-14 21:00:00,230.5,231.4,24
delhi,2025-12-14 22:00:00,214.7,215.6,26
delhi,2025-12-14 23:00:00,196.5,197.4,29
delhi,2025-12-15 00:00:00,181.6,182.5,32
delhi,2025-12-15 01:00:00,177.9,178.8,31
delhi,2025-12-15 02:00:00,185.8,187.2,31
delhi,2025-12-15 03:00:00,183.0,183.9,46
delhi,2025-12-15 04:00:00,158.3,159.3,93
delhi,2025-12-15 05:00:00,131.3,132.2,156
delhi,2025-12-15 06:00:00,93.6,95.2,200
delhi,2025-12-15 07:00:00,64.0,65.7,210
delhi,2025-12-15 08:00:00,49.4,51.1,201
delhi,2025-12-15 09:00:00,44.4,46.1,185
delhi,2025-12-15 10:00:00,43.3,44.9,162
delhi,2025-12-15 11:00:00,45.4,46.8,132
delhi,2025-12-15 12:00:00,56.9,58.1,111
hyderabad,2025-12-11 00:00:00,29.5,30.4,92
hyderabad,2025-12-11 01:00:00,29.0,29.7,86
hyderabad,2025-12-11 02:00:00,30.2,30.7,79
hyderabad,2025-12-11 03:00:00,27.1,27.4,82
hyderabad,2025-12-11 04:00:00,21.7,22.0,105
hyderabad,2025-12-11 05:00:00,18.5,18.9,139
hyderabad,2025-12-11 06:00:00,16.8,17.2,163
hyderabad,2025-12-11 07:00:00,16.3,16.6,171
hyderabad,2025-12-11 08:00:00,15.7,16.0,169
hyderabad,2025-12-11 09:00:00,15.0,15.3,163
hyderabad,2025-12-11 10:00:00,14.6,15.0,152
hyderabad,2025-12-11 11:00:00,14.6,15.0,136
hyderabad,2025-12-11 12:00:00,18.1,18.4,119
hyderabad,2025-12-11 13:00:00,24.0,24.3,102
hyderabad,2025-12-11 14:00:00,27.8,28.2,84
hyderabad,2025-12-11 15:00:00,30.3,30.7,72
hyderabad,2025-12-11 16:00:00,32.5,32.9,68
hyderabad,2025-12-11 17:00:00,34.9,35.5,68
hyderabad,2025-12-11 18:00:00,36.6,37.3,70
hyderabad,2025-12-11 19:00:00,36.8,37.6,72
hyderabad,2025-12-11 20:00:00,37.0,38.0,74
hyderabad,2025-12-11 21:00:00,37.4,38.4,77
hyderabad,2025-12-11 22:00:00,37.1,38.3,80
hyderabad,2025-12-11 23:00:00,36.9,38.2,82
hyderabad,2025-12-12 00:00:00,37.0,38.5,83
hyderabad,2025-12-12 01:00:00,40.5,42.1,77
hyderabad,2025-12-12 02:00:00,48.8,50.4,69
hyderabad,2025-12-12 03:00:00,42.0,43.1,72
hyderabad,2025-12-12 04:00:00,24.4,25.7,96
hyderabad,2025-12-12 05:00:00,19.5,20.8,131
hyderabad,2025-12-12 06:00:00,18.2,19.8,157
hyderabad,2025-12-12 07:00:00,18.1,20.0,168
hyderabad,2025-12-12 08:00:00,18.1,20.1,171
hyderabad,2025-12-12 09:00:00,18.2,20.3,169
hyderabad,2025-12-12 10:00:00,18.6,20.7,160
hyderabad,2025-12-12 11:00:00,19.3,21.3,146
hyderabad,2025-12-12 12:00:00,23.9,25.6,130
hyderabad,2025-12-12 13:00:00,30.6,32.4,112
hyderabad,2025-12-12 14:00:00,35.4,37.3,93
hyderabad,2025-12-12 15:00:00,38.9,40.7,79
hyderabad,2025-12-12 16:00:00,41.4,43.5,74
hyderabad,2025-12-12 17:00:00,44.6,46.9,74
hyderabad,2025-12-12 18:00:00,46.7,49.1,76
hyderabad,2025-12-12 19:00:00,46.7,49.4,79
hyderabad,2025-12-12 20:00:00,47.0,49.8,83
hyderabad,2025-12-12 21:00:00,47.6,50.5,87
hyderabad,2025-12-12 22:00:00,48.3,51.5,91
hyderabad,2025-12-12 23:00:00,49.1,52.4,94
hyderabad,2025-12-13 00:00:00,49.7,53.2,95
hyderabad,2025-12-13 01:00:00,52.9,56.5,90
hyderabad,2025-12-13 02:00:00,61.0,64.7,84
hyderabad,2025-12-13 03:00:00,56.5,59.1,86
hyderabad,2025-12-13 04:00:00,31.5,34.3,107
hyderabad,2025-12-13 05:00:00,24.4,26.8,136
hyderabad,2025-12-13 06:00:00,22.8,24.7,159
hyderabad,2025-12-13 07:00:00,23.0,24.7,169
hyderabad,2025-12-13 08:00:00,23.1,24.9,172
hyderabad,2025-12-13 09:00:00,23.1,24.8,170
hyderabad,2025-12-13 10:00:00,22.9,24.7,161
hyderabad,2025-12-13 11:00:00,23.2,24.9,145
hyderabad,2025-12-13 12:00:00,27.8,29.2,129
hyderabad,2025-12-13 13:00:00,34.1,35.5,110
hyderabad,2025-12-13 14:00:00,38.0,39.2,91
hyderabad,2025-12-13 15:00:00,39.8,41.2,77
hyderabad,2025-12-13 16:00:00,41.2,42.6,74
hyderabad,2025-12-13 17:00:00,42.6,44.0,77
hyderabad,2025-12-13 18:00:00,42.7,44.2,82
hyderabad,2025-12-13 19:00:00,42.1,43.7,88
hyderabad,2025-12-13 20:00:00,42.1,43.7,96
hyderabad,2025-12-13 21:00:00,42.8,44.4,102
hyderabad,2025-12-13 22:00:00,43.5,45.2,107
hyderabad,2025-12-13 23:00:00,44.4,45.9,111
hyderabad,2025-12-14 00:00:00,45.8,47.4,112
hyderabad,2025-12-14 01:00:00,50.1,51.6,108
hyderabad,2025-12-14 02:00:00,59.8,61.2,101
hyderabad,2025-12-14 03:00:00,52.7,53.8,102
hyderabad,2025-12-14 04:00:00,34.7,36.0,119
hyderabad,2025-12-14 05:00:00,31.5,32.9,143
hyderabad,2025-12-14 06:00:00,27.9,29.3,161
hyderabad,2025-12-14 07:00:00,26.6,28.0,168
hyderabad,2025-12-14 08:00:00,26.1,27.7,170
hyderabad,2025-12-14 09:00:00,26.0,27.6,166
hyderabad,2025-12-14 10:00:00,25.7,27.5,157
hyderabad,2025-12-14 11:00:00,26.0,27.8,142
hyderabad,2025-12-14 12:00:00,31.2,32.6,126
hyderabad,2025-12-14 13:00:00,38.1,39.6,107
hyderabad,2025-12-14 14:00:00,42.5,43.9,86
hyderabad,2025-12-14 15:00:00,45.6,47.0,72
hyderabad,2025-12-14 16:00:00,48.3,49.7,68
hyderabad,2025-12-14 17:00:00,49.9,51.3,71
hyderabad,2025-12-14 18:00:00,50.3,51.8,75
hyderabad,2025-12-14 19:00:00,49.9,51.5,80
hyderabad,2025-12-14 20:00:00,50.3,51.9,87
hyderabad,2025-12-14 21:00:00,51.0,52.7,93
hyderabad,2025-12-14 22:00:00,51.8,53.6,98
hyderabad,2025-12-14 23:00:00,52.6,54.4,102
hyderabad,2025-12-15 00:00:00,54.4,56.1,104
hyderabad,2025-12-15 01:00:00,59.3,61.0,101
hyderabad,2025-12-15 02:00:00,69.6,71.5,97
hyderabad,2025-12-15 03:00:00,58.0,59.1,101
hyderabad,2025-12-15 04:00:00,41.6,43.0,121
hyderabad,2025-12-15 05:00:00,36.9,38.3,148
hyderabad,2025-12-15 06:00:00,33.9,35.4,168
hyderabad,2025-12-15 07:00:00,32.6,34.2,174
hyderabad,2025-12-15 08:00:00,32.4,34.0,172
hyderabad,2025-12-15 09:00:00,32.2,34.0,167
hyderabad,2025-12-15 10:00:00,32.5,34.2,156
hyderabad,2025-12-15 11:00:00,33.3,35.0,142
hyderabad,2025-12-15 12:00:00,37.1,38.5,131
kolkata,2025-12-11 00:00:00,187.2,190.5,44
kolkata,2025-12-11 01:00:00,183.9,186.3,57
kolkata,2025-12-11 02:00:00,176.0,178.3,76
kolkata,2025-12-11 03:00:00,167.2,169.0,102
kolkata,2025-12-11 04:00:00,154.6,156.9,142
kolkata,2025-12-11 05:00:00,127.6,131.3,189
kolkata,2025-12-11 06:00:00,90.6,96.6,223
kolkata,2025-12-11 07:00:00,82.0,88.5,236
kolkata,2025-12-11 08:00:00,78.5,84.8,236
kolkata,2025-12-11 09:00:00,77.3,83.6,226
kolkata,2025-12-11 10:00:00,77.1,82.9,204
kolkata,2025-12-11 11:00:00,95.5,100.1,173
kolkata,2025-12-11 12:00:00,120.6,125.7,142
kolkata,2025-12-11 13:00:00,145.3,149.9,114
kolkata,2025-12-11 14:00:00,165.8,170.4,87
kolkata,2025-12-11 15:00:00,181.1,185.8,65
kolkata,2025-12-11 16:00:00,193.2,197.9,51
kolkata,2025-12-11 17:00:00,201.6,206.3,41
kolkata,2025-12-11 18:00:00,205.8,210.5,34
kolkata,2025-12-11 19:00:00,209.1,213.3,28
kolkata,2025-12-11 20:00:00,210.5,214.7,23
kolkata,2025-12-11 21:00:00,209.5,213.7,20
kolkata,2025-12-11 22:00:00,209.1,212.8,14
kolkata,2025-12-11 23:00:00,209.1,212.8,9
kolkata,2025-12-12 00:00:00,210.9,214.7,15
kolkata,2025-12-12 01:00:00,219.3,223.1,38
kolkata,2025-12-12 02:00:00,218.4,221.2,73
kolkata,2025-12-12 03:00:00,187.7,189.5,109
kolkata,2025-12-12 04:00:00,139.2,142.5,148
kolkata,2025-12-12 05:00:00,90.8,94.3,188
kolkata,2025-12-12 06:00:00,61.7,65.4,217
kolkata,2025-12-12 07:00:00,57.3,61.0,230
kolkata,2025-12-12 08:00:00,54.9,58.6,232
kolkata,2025-12-12 09:00:00,53.9,57.4,224
kolkata,2025-12-12 10:00:00,54.2,57.4,202
kolkata,2025-12-12 11:00:00,69.2,71.7,171
kolkata,2025-12-12 12:00:00,91.0,93.6,141
kolkata,2025-12-12 13:00:00,110.6,112.9,115
kolkata,2025-12-12 14:00:00,126.2,128.5,91
kolkata,2025-12-12 15:00:00,138.3,140.6,72
kolkata,2025-12-12 16:00:00,148.1,150.4,60
kolkata,2025-12-12 17:00:00,153.2,155.5,53
kolkata,2025-12-12 18:00:00,152.3,154.6,48
kolkata,2025-12-12 19:00:00,151.3,153.7,44
kolkata,2025-12-12 20:00:00,151.8,153.7,43
kolkata,2025-12-12 21:00:00,152.7,155.1,40
kolkata,2025-12-12 22:00:00,155.1,157.4,32
kolkata,2025-12-12 23:00:00,159.3,161.6,23
kolkata,2025-12-13 00:00:00,162.5,164.8,26
kolkata,2025-12-13 01:00:00,169.5,171.8,48
kolkata,2025-12-13 02:00:00,163.0,164.4,83
kolkata,2025-12-13 03:00:00,137.4,138.8,117
kolkata,2025-12-13 04:00:00,106.6,108.0,151
kolkata,2025-12-13 05:00:00,68.2,69.6,185
kolkata,2025-12-13 06:00:00,47.1,48.7,210
kolkata,2025-12-13 07:00:00,43.2,44.9,223
kolkata,2025-12-13 08:00:00,41.7,43.7,226
kolkata,2025-12-13 09:00:00,40.9,43.1,220
kolkata,2025-12-13 10:00:00,41.0,43.1,199
kolkata,2025-12-13 11:00:00,53.8,55.5,169
kolkata,2025-12-13 12:00:00,76.1,77.8,140
kolkata,2025-12-13 13:00:00,92.0,93.8,116
kolkata,2025-12-13 14:00:00,102.2,103.8,94
kolkata,2025-12-13 15:00:00,106.9,109.0,77
kolkata,2025-12-13 16:00:00,110.6,113.4,66
kolkata,2025-12-13 17:00:00,113.6,116.9,59
kolkata,2025-12-13 18:00:00,113.4,117.1,54
kolkata,2025-12-13 19:00:00,112.9,116.9,50
kolkata,2025-12-13 20:00:00,112.5,116.2,47
kolkata,2025-12-13 21:00:00,111.5,115.5,45
kolkata,2025-12-13 22:00:00,111.3,115.0,40
kolkata,2025-12-13 23:00:00,112.0,115.9,36
kolkata,2025-12-14 00:00:00,114.8,118.7,40
kolkata,2025-12-14 01:00:00,123.9,128.5,58
kolkata,2025-12-14 02:00:00,122.5,126.7,84
kolkata,2025-12-14 03:00:00,105.9,108.5,112
kolkata,2025-12-14 04:00:00,84.3,86.6,143
kolkata,2025-12-14 05:00:00,58.3,61.5,176
kolkata,2025-12-14 06:00:00,44.0,47.6,201
kolkata,2025-12-14 07:00:00,39.1,43.1,215
kolkata,2025-12-14 08:00:00,38.5,42.6,221
kolkata,2025-12-14 09:00:00,38.6,42.8,217
kolkata,2025-12-14 10:00:00,39.8,43.9,200
kolkata,2025-12-14 11:00:00,61.7,65.2,175
kolkata,2025-12-14 12:00:00,89.4,92.9,148
kolkata,2025-12-14 13:00:00,113.9,117.3,122
kolkata,2025-12-14 14:00:00,133.2,136.4,95
kolkata,2025-12-14 15:00:00,145.3,148.5,74
kolkata,2025-12-14 16:00:00,152.7,156.5,62
kolkata,2025-12-14 17:00:00,155.5,160.7,57
kolkata,2025-12-14 18:00:00,153.7,159.3,52
kolkata,2025-12-14 19:00:00,151.3,156.9,47
kolkata,2025-12-14 20:00:00,150.4,156.0,44
kolkata,2025-12-14 21:00:00,151.8,157.4,40
kolkata,2025-12-14 22:00:00,154.6,160.2,31
kolkata,2025-12-14 23:00:00,156.5,161.6,21
kolkata,2025-12-15 00:00:00,156.5,161.6,24
kolkata,2025-12-15 01:00:00,162.1,167.6,47
kolkata,2025-12-15 02:00:00,156.5,161.6,83
kolkata,2025-12-15 03:00:00,126.7,129.9,117
kolkata,2025-12-15 04:00:00,95.2,98.3,148
kolkata,2025-12-15 05:00:00,57.0,60.8,178
kolkata,2025-12-15 06:00:00,38.1,42.3,201
kolkata,2025-12-15 07:00:00,35.5,39.8,215
kolkata,2025-12-15 08:00:00,35.4,39.6,220
kolkata,2025-12-15 09:00:00,35.3,39.3,216
kolkata,2025-12-15 10:00:00,36.2,40.0,194
kolkata,2025-12-15 11:00:00,52.0,54.9,162
kolkata,2025-12-15 12:00:00,76.1,78.9,138
mumbai,2025-12-11 00:00:00,30.7,30.7,26
mumbai,2025-12-11 01:00:00,29.8,29.9,23
mumbai,2025-12-11 02:00:00,32.2,32.4,24
mumbai,2025-12-11 03:00:00,36.2,36.3,40
mumbai,2025-12-11 04:00:00,38.8,38.8,84
mumbai,2025-12-11 05:00:00,39.7,39.7,143
mumbai,2025-12-11 06:00:00,38.6,38.6,198
mumbai,2025-12-11 07:00:00,40.2,40.2,248
mumbai,2025-12-11 08:00:00,47.4,47.4,292
mumbai,2025-12-11 09:00:00,49.5,49.7,313
mumbai,2025-12-11 10:00:00,47.8,48.3,293
mumbai,2025-12-11 11:00:00,43.7,44.4,250
mumbai,2025-12-11 12:00:00,35.5,36.3,209
mumbai,2025-12-11 13:00:00,27.4,28.5,181
mumbai,2025-12-11 14:00:00,23.3,24.5,156
mumbai,2025-12-11 15:00:00,23.6,24.6,135
mumbai,2025-12-11 16:00:00,26.7,27.5,117
mumbai,2025-12-11 17:00:00,30.4,31.0,103
mumbai,2025-12-11 18:00:00,33.2,33.5,90
mumbai,2025-12-11 19:00:00,32.5,32.6,79
mumbai,2025-12-11 20:00:00,30.6,30.7,71
mumbai,2025-12-11 21:00:00,28.8,28.9,63
mumbai,2025-12-11 22:00:00,27.6,27.8,56
mumbai,2025-12-11 23:00:00,27.0,27.2,50
mumbai,2025-12-12 00:00:00,27.1,27.3,45
mumbai,2025-12-12 01:00:00,28.3,28.5,36
mumbai,2025-12-12 02:00:00,32.6,32.7,28
mumbai,2025-12-12 03:00:00,37.6,37.8,41
mumbai,2025-12-12 04:00:00,41.1,41.3,87
mumbai,2025-12-12 05:00:00,42.1,42.4,154
mumbai,2025-12-12 06:00:00,42.1,42.4,217
mumbai,2025-12-12 07:00:00,46.0,46.3,278
mumbai,2025-12-12 08:00:00,52.9,53.2,337
mumbai,2025-12-12 09:00:00,65.4,65.9,367
mumbai,2025-12-12 10:00:00,53.3,53.9,351
mumbai,2025-12-12 11:00:00,49.8,50.6,306
mumbai,2025-12-12 12:00:00,44.1,45.1,261
mumbai,2025-12-12 13:00:00,35.9,37.0,221
mumbai,2025-12-12 14:00:00,30.9,32.1,181
mumbai,2025-12-12 15:00:00,28.5,29.9,149
mumbai,2025-12-12 16:00:00,27.7,29.0,131
mumbai,2025-12-12 17:00:00,29.3,30.4,122
mumbai,2025-12-12 18:00:00,32.5,33.3,113
mumbai,2025-12-12 19:00:00,35.3,36.0,101
mumbai,2025-12-12 20:00:00,37.5,38.0,89
mumbai,2025-12-12 21:00:00,38.5,38.9,78
mumbai,2025-12-12 22:00:00,38.8,39.1,69
mumbai,2025-12-12 23:00:00,38.6,38.9,62
mumbai,2025-12-13 00:00:00,38.5,38.8,57
mumbai,2025-12-13 01:00:00,38.3,38.6,48
mumbai,2025-12-13 02:00:00,41.3,41.7,42
mumbai,2025-12-13 03:00:00,44.2,44.6,55
mumbai,2025-12-13 04:00:00,47.7,48.2,101
mumbai,2025-12-13 05:00:00,49.8,50.3,168
mumbai,2025-12-13 06:00:00,49.5,50.1,234
mumbai,2025-12-13 07:00:00,54.5,55.3,304
mumbai,2025-12-13 08:00:00,68.2,69.2,373
mumbai,2025-12-13 09:00:00,69.4,70.3,410
